seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
40,beta,1,max,1.0,0.5,raw,none,,3,0.4196237969925278,0.6594390486387275,0.3709708361601959,0.8419398850622236
6,beta,1,max,1.0,0.5,raw,none,,3,0.4432302110378036,0.6095597647092664,0.3623037621005596,0.8539692753599275
39,beta,1,max,1.0,0.5,raw,none,,3,0.4162140672942855,0.6630943009136668,0.3659861574147892,0.8660060318828091
10,beta,1,max,1.0,0.5,raw,none,,8,0.4304693218580487,0.6502677496774751,0.3510370354200696,0.8641937121504246
22,beta,1,max,1.0,0.5,raw,none,,3,0.4390114153809418,0.620849970572791,0.3670757204724855,0.8505564909365229
2,beta,1,max,1.0,0.5,raw,none,,15,0.4272694434188716,0.6248026736917808,0.3588910368575257,0.8573196831931513
1,beta,1,max,1.0,0.5,raw,none,,15,0.4402943168389023,0.6348649065132524,0.3673114973063963,0.8542014491555775
32,beta,1,max,1.0,0.5,raw,none,,5,0.4433445864996437,0.6189743410960815,0.3761362702661098,0.8421693980868687
24,beta,1,max,1.0,0.5,raw,none,,4,0.4305018943585442,0.6454463122761316,0.3534147213409561,0.8587722810554075
12,beta,1,max,1.0,0.5,raw,none,,3,0.4288058165093464,0.618267707374494,0.3731900285000449,0.8472570291256694
9,beta,1,max,1.0,0.5,raw,none,,3,0.4232894357063677,0.6677180239637621,0.3534163130051806,0.8571060787046713
14,beta,1,max,1.0,0.5,raw,none,,6,0.4393708215571792,0.5974093886667793,0.3622201990699695,0.8553736479506319
7,beta,1,max,1.0,0.5,raw,none,,4,0.419969937435038,0.6925672643111936,0.3554079192375684,0.8544877625947669
19,beta,1,max,1.0,0.5,raw,none,,4,0.4262650567133425,0.6517283423343987,0.365363154427781,0.8551510603377532
42,beta,1,max,1.0,0.5,raw,none,,8,0.4352086896820338,0.6713576532088791,0.3656220240349578,0.8568900273945199
