seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
35,beta,54,none,0.1,1.0,sae,none,,4,0.2705113242021253,0.5580808080808081,0.1780181338323384,0.916025641025641
39,beta,54,none,0.1,1.0,sae,none,,4,0.3210915303211573,0.4666666666666667,0.2566092908940761,0.9102691924227316
9,beta,54,none,0.1,1.0,sae,none,,5,0.2867394224193141,0.5680778032036613,0.2389303730498709,0.917395236659632
30,beta,54,none,0.1,1.0,sae,none,,5,0.2849051271186133,0.7198380566801619,0.2362358133658413,0.9070855614973262
42,beta,54,none,0.1,1.0,sae,none,,4,0.3087697915247374,0.5802098950524737,0.2423927836860863,0.8945409429280397
33,beta,54,none,0.1,1.0,sae,none,,5,0.3527833404012763,0.5408163265306122,0.2656641398372125,0.9220142602495544
25,beta,54,none,0.1,1.0,sae,none,,3,0.3247059986987224,0.5482954545454546,0.1895241358491886,0.9576
29,beta,54,none,0.1,1.0,sae,none,,4,0.3078443021853564,0.5982972136222909,0.2315273944149099,0.9053944158308485
8,beta,54,none,0.1,1.0,sae,none,,9,0.299965569884751,0.6096837944664031,0.2227652851628447,0.9386684906520748
15,beta,54,none,0.1,1.0,sae,none,,4,0.2767305849367275,0.4223484848484847,0.1386810622059831,0.9721586575133486
6,beta,54,none,0.1,1.0,sae,none,,12,0.3348488022195709,0.6819620253164557,0.2330618710093809,0.9256198347107438
13,beta,54,none,0.1,1.0,sae,none,,5,0.3090948792208345,0.804,0.2723261455332844,0.8976293103448276
21,beta,54,none,0.1,1.0,sae,none,,4,0.3197230870751844,0.8352842809364549,0.2666925966550458,0.9145780051150896
32,beta,54,none,0.1,1.0,sae,none,,5,0.3378622451065436,0.5209638554216868,0.2022001320166633,0.8705882352941176
1,beta,54,none,0.1,1.0,sae,none,,12,0.3239786109016019,0.6196741854636592,0.2109827152111481,0.9339130434782608
2,beta,54,none,0.1,1.0,sae,none,,12,0.2723891461039611,0.6127340823970037,0.1762866542879051,0.9419975186104218
18,beta,54,none,0.1,1.0,sae,none,,5,0.3848922250119989,0.3771526980482205,0.2486069431316655,0.8364027744558717
23,beta,54,none,0.1,1.0,sae,none,,5,0.2823453738910565,0.5358514724711908,0.2096982865607824,0.934796238244514
43,beta,54,none,0.1,1.0,sae,none,,5,0.2878465077772631,0.5586124401913876,0.2484596527467498,0.9700070571630204
5,beta,54,none,0.1,1.0,sae,none,,12,0.3323464860610715,0.5531313131313131,0.2907153122563446,0.8883349950149552
34,beta,54,none,0.1,1.0,sae,none,,3,0.3905693968299615,0.6754658385093167,0.3853995044426931,0.856060606060606
26,beta,54,none,0.1,1.0,sae,none,,5,0.2932501649311379,0.548936170212766,0.2024552325372857,0.9345556404379934
7,beta,54,none,0.1,1.0,sae,none,,10,0.3145706715256676,0.5888429752066116,0.2260779345476852,0.9150148097516518
44,beta,54,none,0.1,1.0,sae,none,,5,0.3034815888240863,0.6000859106529209,0.2475702482410797,0.9219804951237808
37,beta,54,none,0.1,1.0,sae,none,,4,0.3229461535967863,0.8738819320214669,0.2532123473835148,0.925979262672811
