study,study_group,artifact_path,araf_rows,araf_seeds,baseline_missing
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_raw_bernoulli_u32_n_max.csv,321,3,0
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_raw_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_raw_beta_u32_n_max.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_pca_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_raw_bernoulli_u32_n_max.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_raw_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.250,model/result/support_thinning_study/retain_0.250/araf_sweeps/amortized_irt_raw_beta_u32_n_max.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_pca_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_raw_bernoulli_u32_n_max.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_raw_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.500,model/result/support_thinning_study/retain_0.500/araf_sweeps/amortized_irt_raw_beta_u32_n_max.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_pca_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_raw_bernoulli_u32_n_max.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_raw_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_1.000,model/result/support_thinning_study/retain_1.000/araf_sweeps/amortized_irt_raw_beta_u32_n_max.csv,321,3,0
