seed,model_type,n_samples,pre_revision,j_percentage,mirt_dim,rmse_mirt,auc_mirt,baseline_embedding_type
35,bernoulli,32,none,1.0,6,0.2671728057613097,0.6145983565939634,pca
43,bernoulli,32,none,1.0,6,0.2809772360878609,0.5418174587393119,pca
17,bernoulli,32,none,1.0,6,0.271488615044066,0.6154947993183287,pca
3,bernoulli,32,none,1.0,6,0.269422523019453,0.5334066165730549,pca
6,bernoulli,32,none,1.0,6,0.2764965334307637,0.5728500914436294,pca
7,bernoulli,32,none,1.0,6,0.2762376056885505,0.5732425616140978,pca
28,bernoulli,32,none,1.0,6,0.2905652702644216,0.5639156436890148,pca
39,bernoulli,32,none,1.0,6,0.2901219849904403,0.5736429291464711,pca
18,bernoulli,32,none,1.0,6,0.2605650367869532,0.5985123130184858,pca
22,bernoulli,32,none,1.0,6,0.2880235766141646,0.581055804502577,pca
37,bernoulli,32,none,1.0,6,0.2700675245681465,0.5855042335260616,pca
19,bernoulli,32,none,1.0,6,0.2682502824687626,0.619239997177334,pca
10,bernoulli,32,none,1.0,6,0.2773977818040438,0.6016042780748664,pca
31,bernoulli,32,none,1.0,6,0.2732254432199579,0.5757116023695998,pca
13,bernoulli,32,none,1.0,6,0.2627961202862721,0.591342839019278,pca
34,bernoulli,32,none,1.0,6,0.2722637871525606,0.5414591995619664,pca
41,bernoulli,32,none,1.0,6,0.2740327079004203,0.5866563810428039,pca
23,bernoulli,32,none,1.0,6,0.2764762555364042,0.5872264762396397,pca
47,bernoulli,32,none,1.0,6,0.2665659562811434,0.5947475995817093,pca
45,bernoulli,32,none,1.0,6,0.2819241285965017,0.577484065225042,pca
2,bernoulli,32,none,1.0,7,0.2659320879384396,0.5356034701114489,pca
5,bernoulli,32,none,1.0,6,0.2681128317510454,0.5974140593972023,pca
42,bernoulli,32,none,1.0,7,0.2617826241508047,0.6194421270547521,pca
11,bernoulli,32,none,1.0,6,0.2712670286388479,0.5671455432164053,pca
30,bernoulli,32,none,1.0,6,0.2656603116518217,0.5543029880623384,pca
27,bernoulli,32,none,1.0,6,0.2728277082672178,0.5663459253979567,pca
9,bernoulli,32,none,1.0,6,0.2640587123621777,0.6145396959459459,pca
49,bernoulli,32,none,1.0,6,0.2713775836385827,0.5312393926365097,pca
29,bernoulli,32,none,1.0,6,0.287813646332884,0.6429629519901641,pca
33,bernoulli,32,none,1.0,6,0.2944745467063873,0.5283180613185801,pca
38,bernoulli,32,none,1.0,6,0.28320273037587,0.5313549958283537,pca
25,bernoulli,32,none,1.0,6,0.2873175767902695,0.5852961742083709,pca
21,bernoulli,32,none,1.0,6,0.271138169444971,0.6302668630034358,pca
20,bernoulli,32,none,1.0,7,0.274648342379414,0.5542918388748381,pca
24,bernoulli,32,none,1.0,7,0.2854807848969518,0.5851626016260163,pca
1,bernoulli,32,none,1.0,6,0.2817817667651464,0.5503361879821643,pca
26,bernoulli,32,none,1.0,7,0.274305559747162,0.579462233746742,pca
48,bernoulli,32,none,1.0,7,0.26476967768805,0.5716419152595662,pca
32,bernoulli,32,none,1.0,7,0.2725257386292317,0.5607486828417061,pca
40,bernoulli,32,none,1.0,7,0.2850025232939531,0.5358524866900402,pca
12,bernoulli,32,none,1.0,7,0.2745093590829371,0.5263275039745628,pca
46,bernoulli,32,none,1.0,7,0.2769290886739936,0.6151439393939394,pca
15,bernoulli,32,none,1.0,7,0.2840110829215691,0.554446625396346,pca
16,bernoulli,32,none,1.0,7,0.2806151032136365,0.5786609395525345,pca
8,bernoulli,32,none,1.0,7,0.2707090214779326,0.5370370370370371,pca
0,bernoulli,32,none,1.0,7,0.2896654824960477,0.5255776650626436,pca
36,bernoulli,32,none,1.0,7,0.2687655644012839,0.5631030774443512,pca
44,bernoulli,32,none,1.0,7,0.2681540952026227,0.5528430438456147,pca
43,bernoulli,32,none,1.0,7,0.2815984712923953,0.5726585802346391,pca
35,bernoulli,32,none,1.0,7,0.2684846405230451,0.6116990984194606,pca
14,bernoulli,32,none,1.0,7,0.2835501025110744,0.5779522418540808,pca
6,bernoulli,32,none,1.0,7,0.2770737421675123,0.5509036203811135,pca
3,bernoulli,32,none,1.0,7,0.2708313312211983,0.5743197458175849,pca
4,bernoulli,32,none,1.0,8,0.2715345240318851,0.5563415355403029,pca
7,bernoulli,32,none,1.0,7,0.2792304300086442,0.5572165113012386,pca
39,bernoulli,32,none,1.0,7,0.2913421360901212,0.5595647430851872,pca
17,bernoulli,32,none,1.0,7,0.2728417445978451,0.5844670035846506,pca
18,bernoulli,32,none,1.0,7,0.2621646186155879,0.6143200078385264,pca
22,bernoulli,32,none,1.0,7,0.2892266400300201,0.5596732738551801,pca
19,bernoulli,32,none,1.0,7,0.2692805381934604,0.6222390798108812,pca
13,bernoulli,32,none,1.0,7,0.2655799911737789,0.489157864254392,pca
28,bernoulli,32,none,1.0,7,0.2920853329089872,0.5151463644948064,pca
37,bernoulli,32,none,1.0,7,0.27193442440639,0.5817001956156117,pca
31,bernoulli,32,none,1.0,7,0.2727821398312033,0.5993263256754804,pca
34,bernoulli,32,none,1.0,7,0.2733097868077461,0.569238403230498,pca
10,bernoulli,32,none,1.0,7,0.27990395252494,0.5704322638146168,pca
42,bernoulli,32,none,1.0,8,0.2641386210183072,0.5676755036460265,pca
2,bernoulli,32,none,1.0,8,0.2675704537287455,0.5592230243161095,pca
