seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
43,beta,1,max,1.0,0.05,raw,3,0.4493868637641133,0.5663100560820608,0.4365175319331897,0.7783539422949076
13,beta,1,max,1.0,0.05,raw,3,0.4613868818083766,0.5004571509594364,0.4558514748798296,0.6333989104116222
39,beta,1,max,1.0,0.05,raw,3,0.4332761374501067,0.6057885445740595,0.414631722212619,0.7538052312693956
38,beta,1,max,1.0,0.05,raw,3,0.4352458375384461,0.6050692220363887,0.4381560107587511,0.6749490316004079
28,beta,1,max,1.0,0.05,raw,2,0.4513948558347777,0.6060881512442531,0.4385800144013926,0.6837912087912088
12,beta,1,max,1.0,0.05,raw,3,0.4389405036941908,0.5714553598620298,0.4286425803220598,0.6596449390567037
3,beta,1,max,1.0,0.05,raw,3,0.4413793268685771,0.6120243512483089,0.4007222918595097,0.7509881422924902
0,beta,1,max,1.0,0.05,raw,15,0.464447830593518,0.4940681359981653,0.4681156475574233,0.6715620827770361
16,beta,1,max,1.0,0.05,raw,2,0.45182132629056,0.5831759585386338,0.4488924085034639,0.7102585258525853
20,beta,1,max,1.0,0.05,raw,3,0.4305407981326031,0.6044303843982972,0.4153027583142945,0.7572829131652661
11,beta,1,max,1.0,0.05,raw,3,0.4551400891468849,0.5533885625219803,0.4339023728930649,0.7584745762711864
34,beta,1,max,1.0,0.05,raw,3,0.4478297444954447,0.5924522296854919,0.4409790503689962,0.6209366391184573
31,beta,1,max,1.0,0.05,raw,3,0.434043101570038,0.6478652501080431,0.4269793740568505,0.7200210609451099
30,beta,1,max,1.0,0.05,raw,3,0.4584140074417651,0.5808900237381309,0.430074846634596,0.730005367686527
26,beta,1,max,1.0,0.05,raw,3,0.4477141351207045,0.5903096204005931,0.4282667426596079,0.6703164841757911
23,beta,1,max,1.0,0.05,raw,4,0.4418004731454211,0.5747028334415804,0.4416496652203913,0.6962145969498911
33,beta,1,max,1.0,0.05,raw,4,0.4441027857515062,0.5801851714746036,0.4347941989882819,0.7188737973967176
5,beta,1,max,1.0,0.05,raw,4,0.434342468196153,0.6083310988729401,0.4433930338043911,0.6868799603174602
46,beta,1,max,1.0,0.05,raw,3,0.4459420990255648,0.6238059249578738,0.4480881104122721,0.6229575163398693
4,beta,1,max,1.0,0.05,raw,3,0.4499798836450313,0.615702102997185,0.4176233058428091,0.7499673586630109
18,beta,1,max,1.0,0.05,raw,4,0.4518295877570644,0.6077876687498645,0.4221761829319213,0.7869838665572875
45,beta,1,max,1.0,0.05,raw,3,0.4458442157088652,0.5716063168448196,0.4348809835521766,0.7122395833333334
22,beta,1,max,1.0,0.05,raw,3,0.4588049517624972,0.477045014819331,0.4537621326768604,0.7722965440356744
32,beta,1,max,1.0,0.05,raw,3,0.4486891236627227,0.5989851485148514,0.422697166817418,0.7929976286790348
27,beta,1,max,1.0,0.05,raw,3,0.4597765640085333,0.548925288423433,0.4501358456341853,0.6970414201183434
40,beta,1,max,1.0,0.05,raw,3,0.4379425365157841,0.6115274803711636,0.4264225286477566,0.7210421976777117
24,beta,1,max,1.0,0.05,raw,3,0.4382375052749649,0.5891810485183979,0.4190403934880576,0.6697819314641744
36,beta,1,max,1.0,0.05,raw,3,0.4609395528198048,0.5621903052064632,0.4397460131017182,0.6533935413245758
29,beta,1,max,1.0,0.05,raw,4,0.4632393372539133,0.481006228804971,0.455248084685912,0.6466049382716049
49,beta,1,max,1.0,0.05,raw,3,0.4555363456073135,0.6015237800032316,0.4233818341366135,0.6845481845481846
44,beta,1,max,1.0,0.05,raw,3,0.445647765991867,0.5681699950528978,0.4411261860038918,0.6702598120508568
47,beta,1,max,1.0,0.05,raw,3,0.4317118555734109,0.6056144979329394,0.4297961531161625,0.7502047502047502
48,beta,1,max,1.0,0.05,raw,4,0.4512825867201396,0.5814079678537285,0.415289877109621,0.7448092031425364
41,beta,1,max,1.0,0.05,raw,4,0.4471126278057885,0.5805741203573853,0.3988858299841312,0.804057734204793
