item,assigned_skill,max_loading
396,2,0.03523121388133911
397,2,0.02837554980762244
398,2,0.03117815429463152
399,0,0.04438119786426993
400,16,0.03838076189244792
401,2,0.03544807185941449
402,0,0.05609472387801302
403,2,0.034338225167915265
404,16,0.07837326495412324
405,17,0.024966418140771787
406,2,0.04490161765461441
407,2,0.0736988649759223
408,16,0.030955302180451335
409,18,0.058886737769706446
410,15,0.022763610805421695
411,0,0.04693061032325166
412,0,0.06592555036684843
413,2,0.04021954464974372
414,0,0.014105399413085883
415,2,0.04964203364487526
416,0,0.0639504729742033
417,0,0.032519191611831914
418,2,0.04609007395065874
419,18,0.06584138471230146
420,0,0.04905278195581967
421,16,0.04137849773586007
422,0,0.044018524236383014
423,17,0.02624367130271976
424,16,0.04254585443788698
425,16,0.026608180221935132
426,0,0.043284661696569124
427,18,0.033054110369082755
428,2,0.05296532781046497
429,0,0.056812597286395025
430,0,0.031000424322011978
431,16,0.01236429683097902
432,18,0.05095174656388435
433,16,0.02933415295995621
434,16,0.03128824716118887
435,2,0.02275929024651548
436,18,0.019775582432766194
437,0,0.03890313443895759
438,16,0.04001739416135124
439,0,0.06476122295216225
440,18,0.025837532195513616
441,2,0.06509882249687443
442,0,0.04879217490851811
443,0,0.04048098537689438
444,0,0.06385601530409395
445,18,0.048589498388835965
446,2,0.058500666391989135
447,0,0.04268427672839753
448,0,0.042747379097828046
449,16,0.02923557910642956
450,16,0.06539626214206833
451,18,0.023490236293779745
452,0,0.04318325578058363
453,0,0.04783449297641775
454,2,0.03612475278240805
455,16,0.04807940788160464
456,0,0.029681712327913876
457,0,0.04501371800183975
458,0,0.06970703326890315
459,0,0.03254976988079515
460,0,0.03264169459803748
461,2,0.06331546020314675
462,2,0.05985919839260867
463,0,0.03339951984959694
464,0,0.0702844203596869
465,2,0.06307169158792648
466,2,0.0707883055770493
467,16,0.04940878514268293
468,0,0.05361453455984141
469,16,0.056547602226067674
470,18,0.04590016283293929
471,16,0.039000476361795586
472,2,0.04789401384808407
473,18,0.04058173596939684
474,16,0.030048873681369402
475,5,0.031857081798022484
476,0,0.027088574442050595
477,16,0.08814484342527681
478,2,0.047145329632561135
479,18,0.03920895113090959
480,0,0.038470514462939705
481,2,0.06626785019470428
482,2,0.04226812040827404
483,5,0.02382042065005835
484,2,0.0548513114905807
485,2,0.06525349493664774
486,2,0.02165877780284366
487,2,0.04746125961435709
488,2,0.057754437357412806
489,0,0.07331326734310752
490,16,0.02073887601424091
491,0,0.05254037324333525
492,18,0.050283011286961055
493,0,0.028182041675272426
494,2,0.058857134226884614
495,2,0.02988584197507807
496,0,0.04048841392471034
497,2,0.04881956062723238
498,16,0.04999795771180574
499,0,0.037660943068755316
500,0,0.055483345114743544
501,0,0.052219037922639454
502,2,0.027691441590875616
503,0,0.03664757940900547
504,0,0.04960377448449008
505,0,0.05668426104403882
506,16,0.05347781225737186
507,18,0.04057178218024381
508,2,0.05490539187142712
509,2,0.03996742654964225
510,2,0.02838627777144417
511,2,0.04908712005049153
512,16,0.055377175109017414
513,2,0.01971697431564878
514,18,0.021192812820226354
515,0,0.02198752773301851
516,14,0.01657398053336735
517,16,0.05725090501711771
518,16,0.04495635425229881
519,18,0.06555301864495514
520,0,0.07004444400504237
521,2,0.06184328233384163
522,0,0.05719319546212268
523,2,0.04028617606372182
524,2,0.06051850173184371
525,2,0.05142453767902792
526,2,0.04467987624948589
527,2,0.03321774084675211
528,0,0.049116520446643226
529,18,0.034789460525958445
530,2,0.08266451800183477
531,16,0.06320227632711078
532,16,0.03908908978985749
533,2,0.030618095292433062
534,2,0.04708521615289036
535,0,0.043325965763836606
536,2,0.0449493431696457
537,16,0.03957817699870539
538,2,0.03874254915792293
539,16,0.03385691162126995
540,16,0.05677947593507533
541,0,0.07431627216671687
542,18,0.01542252149587884
543,16,0.03236188953890873
544,2,0.05482591699358149
545,2,0.05326637456385911
546,0,0.02671201048711777
547,17,0.026587427225122355
