seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
12,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.0760988518595695,0.1205350756645202,0.173571303486824,0.6874569809922167,0.4312815143293338,0.1860037436665688,0.6409864981105151,0.1399184374018179,0.3735274848424726,0.651056256890297,0.735835179686546,0.6790384920845026,0.4373498045736303,0.1912748513223311,0.6451564775698824,0.1229155461252149,0.3672471364390933,0.7242075867950917,0.798079790920019
12,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1416926085948944,0.1205350756645202,0.173571303486824,0.6597117479470421,0.4383370532245433,0.1921393822308731,0.6303150472251766,0.1466062159535728,0.3768420451143313,0.6749376922845843,0.7669369034469128,0.7496229260935143,0.3999017848196071,0.159921434617166,0.5369389746719267,0.1096957054853971,0.3314169738774321,0.6635852426290513,0.7144410759210587
12,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2252282053232193,0.1205350756645202,0.173571303486824,0.4969135802469135,0.4926752519557442,0.2427289034150511,0.772058845179307,0.2170695999637246,0.4517126267775893,0.6851355403661729,0.7860642537474632,0.3336139169472502,0.5595601398814926,0.3131075554183037,0.954025509505092,0.3073495509723823,0.5196889175722996,0.7772671312093736,0.8594320051372051
36,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.0790208950638771,0.12379652261734,0.206103965640068,0.6056583465737277,0.4534919666884685,0.2056549675862291,0.6994577734017545,0.1441501890549978,0.391959804284852,0.6797949969768524,0.7590838432312008,0.6585515862846598,0.4349269817717843,0.1891614774895638,0.663003949547385,0.1120798754984409,0.3559500208680725,0.7201697938144208,0.8175767518579959
36,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1575649976730346,0.12379652261734,0.206103965640068,0.4898148148148147,0.4752552833454089,0.225867603137904,0.8187949154313922,0.1803438247395356,0.4165201791606489,0.7417194336652758,0.8045455478131772,0.5307098765432099,0.4868289406405321,0.2370024254506219,0.7778889987395088,0.1878324098264177,0.3965078896532456,0.8532245665788651,0.8951481454074383
36,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2439150512218475,0.12379652261734,0.206103965640068,0.4553915275994865,0.4925952917460988,0.2426501264720098,0.7529895094764733,0.1929256105174621,0.4518200964356462,0.7081047296524049,0.7807219505310058,0.5141206675224647,0.4843652016663867,0.2346096505739081,0.7664193156665352,0.19509178592513,0.3970448827991883,0.835655677318573,0.8727164059877396
44,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,297,0.0808595493435859,0.1210105419158935,0.1827823221683502,0.6641022149600581,0.4406738450322451,0.1941934383073612,0.6801421457051225,0.1065319662152428,0.3790295932830785,0.6879682540893555,0.7671072363853454,0.6823257080610022,0.4565097245949002,0.2084011223194656,0.6951938057429309,0.1399301109515657,0.3713163127777753,0.7878238856792452,0.8446130633354186
44,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1517726927995681,0.1210105419158935,0.1827823221683502,0.5077108092812677,0.4974037056611166,0.247410442979447,0.8006895068695695,0.2182039059500579,0.4430437631248919,0.7631603851914406,0.8411439955234528,0.576966610073571,0.4867864693301056,0.236961046249916,0.7430825659936544,0.21334529240531,0.4103903329338539,0.7856729701161385,0.8405553512275219
44,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2407113462686538,0.1210105419158935,0.1827823221683502,0.5873192436040044,0.457788296863702,0.2095701192276012,0.7246915606546769,0.2117679125939806,0.4006685616448521,0.6969560891389847,0.7439641356468201,0.5414349276974416,0.4811465746729408,0.2315020244405012,0.7913263823620398,0.208151850476861,0.4183368602146705,0.7649933531880381,0.8399664506316185
32,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,290,0.0611479915678501,0.1248167157173156,0.1931061893701553,0.7122153209109731,0.4223554665608789,0.1783841345066482,0.6045109843961198,0.0866804245140371,0.3650331392113505,0.6471784293651581,0.7020985022187233,0.7438008570465598,0.4199599670166179,0.1763663807073693,0.59226068104296,0.080825564348749,0.3511764584494562,0.6852275460958482,0.7843636833131313
