Loading Post-Revision Data...

Loading Pre-Revision Data...

==================================================
Tuning Scenario: Post-8
==================================================

--- Testing LAMBDA_TAU = 1.3 ---
Epoch   25 | Loss: 13.9161 | Train RMSE: 0.3257 AUC: 0.5579 | Test RMSE: 0.2597 AUC: 0.5140 | Tau (min/mean/max): 0.225/0.246/0.253
Epoch   50 | Loss: 9.7213 | Train RMSE: 0.3167 AUC: 0.5854 | Test RMSE: 0.2506 AUC: 0.5637 | Tau (min/mean/max): 0.283/0.299/0.304
Epoch   75 | Loss: 8.2860 | Train RMSE: 0.3190 AUC: 0.5963 | Test RMSE: 0.2547 AUC: 0.5748 | Tau (min/mean/max): 0.315/0.325/0.331
Epoch  100 | Loss: 7.7377 | Train RMSE: 0.3212 AUC: 0.6016 | Test RMSE: 0.2580 AUC: 0.5783 | Tau (min/mean/max): 0.316/0.324/0.332
Epoch  125 | Loss: 7.3650 | Train RMSE: 0.3232 AUC: 0.6048 | Test RMSE: 0.2608 AUC: 0.5800 | Tau (min/mean/max): 0.301/0.311/0.319
Epoch  150 | Loss: 7.1684 | Train RMSE: 0.3249 AUC: 0.6073 | Test RMSE: 0.2632 AUC: 0.5799 | Tau (min/mean/max): 0.276/0.289/0.299
Epoch  175 | Loss: 7.0050 | Train RMSE: 0.3264 AUC: 0.6089 | Test RMSE: 0.2653 AUC: 0.5774 | Tau (min/mean/max): 0.241/0.258/0.270
Epoch  200 | Loss: 6.8606 | Train RMSE: 0.3278 AUC: 0.6084 | Test RMSE: 0.2672 AUC: 0.5649 | Tau (min/mean/max): 0.200/0.219/0.232
Epoch  225 | Loss: 6.7811 | Train RMSE: 0.3292 AUC: 0.6063 | Test RMSE: 0.2691 AUC: 0.5527 | Tau (min/mean/max): 0.152/0.173/0.187
Epoch  250 | Loss: 6.6632 | Train RMSE: 0.3308 AUC: 0.5998 | Test RMSE: 0.2712 AUC: 0.5346 | Tau (min/mean/max): 0.098/0.120/0.134
Epoch  275 | Loss: 6.5153 | Train RMSE: 0.3329 AUC: 0.5897 | Test RMSE: 0.2740 AUC: 0.5188 | Tau (min/mean/max): 0.033/0.058/0.076
Epoch  300 | Loss: 6.1881 | Train RMSE: 0.3362 AUC: 0.5851 | Test RMSE: 0.2782 AUC: 0.5119 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  325 | Loss: 5.7208 | Train RMSE: 0.3406 AUC: 0.5940 | Test RMSE: 0.2839 AUC: 0.5216 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  350 | Loss: 5.3571 | Train RMSE: 0.3446 AUC: 0.6025 | Test RMSE: 0.2887 AUC: 0.5311 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  375 | Loss: 5.0642 | Train RMSE: 0.3481 AUC: 0.6108 | Test RMSE: 0.2930 AUC: 0.5406 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  400 | Loss: 4.8228 | Train RMSE: 0.3512 AUC: 0.6184 | Test RMSE: 0.2969 AUC: 0.5483 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  425 | Loss: 4.6217 | Train RMSE: 0.3540 AUC: 0.6254 | Test RMSE: 0.3003 AUC: 0.5563 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  450 | Loss: 4.4527 | Train RMSE: 0.3565 AUC: 0.6317 | Test RMSE: 0.3033 AUC: 0.5644 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  475 | Loss: 4.3097 | Train RMSE: 0.3587 AUC: 0.6377 | Test RMSE: 0.3060 AUC: 0.5731 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  500 | Loss: 4.1879 | Train RMSE: 0.3607 AUC: 0.6433 | Test RMSE: 0.3084 AUC: 0.5792 | Tau (min/mean/max): 0.000/0.000/0.000
